scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
supply_quota,low,endogenous,41,167415,0.9667,82.8948
supply_quota,low,endogenous,42,732053,0.7667,77.6085
supply_quota,low,endogenous,43,443144,0.6333,56.9009
supply_quota,low,endogenous,44,356779,0.7,62.0658
supply_quota,low,endogenous,45,291370,0.7667,77.6775
supply_quota,low,endogenous,46,163033,0.5333,60.2627
supply_quota,low,endogenous,47,225773,0.7,76.8134
supply_quota,low,endogenous,48,800582,0.7333,64.5572
supply_quota,low,endogenous,49,352945,0.7333,84.0955
supply_quota,low,endogenous,50,107176,0.8,72.4349
supply_quota,low,endogenous,51,97252,0.9,79.4881
supply_quota,low,endogenous,52,398383,0.7333,71.3884
supply_quota,low,endogenous,53,101415,0.9667,80.2933
supply_quota,low,endogenous,54,376418,0.7,71.8314
supply_quota,low,endogenous,55,888663,0.5,55.8384
supply_quota,low,endogenous,56,360664,0.9667,76.5409
supply_quota,low,endogenous,57,633053,0.8667,68.9804
supply_quota,low,endogenous,58,277371,0.8667,75.4988
supply_quota,low,endogenous,59,846336,0.9,77.2055
supply_quota,low,endogenous,60,45562,0.8667,79.1633
supply_quota,low,endogenous,61,765180,0.4333,53.3026
supply_quota,low,endogenous,62,481742,0.7667,75.0267
supply_quota,low,endogenous,63,562276,0.8667,72.6919
supply_quota,low,endogenous,64,130890,0.5667,66.7112
supply_quota,low,endogenous,65,967097,0.6667,74.6412
supply_quota,low,endogenous,66,396923,0.5333,55.3432
supply_quota,low,endogenous,67,82628,0.8667,75.4954
supply_quota,low,endogenous,68,578857,0.8,66.4727
supply_quota,low,endogenous,69,307420,0.6,74.9123
supply_quota,low,endogenous,70,869694,0.7,66.3854
supply_quota,low,endogenous,71,659177,0.4667,64.6149
supply_quota,low,endogenous,72,648565,0.5667,61.7206
supply_quota,low,endogenous,73,928464,0.6,71.1362
supply_quota,low,endogenous,74,903566,0.9667,86.5922
supply_quota,low,endogenous,75,379202,0.2333,50.7782
supply_quota,low,endogenous,76,605398,0.8667,77.9299
supply_quota,low,endogenous,77,201630,0.9333,74.8267
supply_quota,low,endogenous,78,738798,0.8,70.2022
supply_quota,low,endogenous,79,72934,0.7667,77.6851
supply_quota,low,endogenous,80,48051,0.5333,65.8001
supply_quota,low,endogenous,81,693385,0.8,71.0462
supply_quota,low,endogenous,82,238969,0.8333,81.6295
supply_quota,low,endogenous,83,810621,0.5333,60.2467
supply_quota,low,endogenous,84,303446,0.7667,68.1397
supply_quota,low,endogenous,85,83668,0.6,76.6392
supply_quota,low,endogenous,86,896866,0.7333,69.2482
supply_quota,low,endogenous,87,244099,0.7667,73.5797
supply_quota,low,endogenous,88,908574,0.7667,73.0302
supply_quota,low,endogenous,89,105908,0.7333,77.0004
supply_quota,low,endogenous,90,398592,0.8333,77.1097
supply_quota,low,endogenous,91,291477,0.9,78.3491
supply_quota,low,endogenous,92,475436,0.6,62.7953
supply_quota,low,endogenous,93,666564,0.9333,79.558
supply_quota,low,endogenous,94,874629,0.7,74.2439
supply_quota,low,endogenous,95,382555,0.8,72.6177
supply_quota,low,endogenous,96,170556,0.7,69.5828
supply_quota,low,endogenous,97,388163,0.8,72.7538
supply_quota,low,endogenous,98,372529,0.5667,75.7968
supply_quota,low,endogenous,99,219685,0.9333,78.0401
supply_quota,low,endogenous,100,702730,0.5333,69.5355
supply_quota,low,endogenous,101,279947,0.5333,59.3037
supply_quota,low,endogenous,102,735912,0.6,58.7634
supply_quota,low,endogenous,103,982154,0.6667,75.1497
supply_quota,low,endogenous,104,716752,0.7,66.9303
supply_quota,low,endogenous,105,679515,0.5,60.7039
supply_quota,low,endogenous,106,74871,0.8667,79.5911
supply_quota,low,endogenous,107,638721,0.9333,82.292
supply_quota,low,endogenous,108,665823,0.9,71.4535
supply_quota,low,endogenous,109,179452,0.3333,63.2193
supply_quota,low,endogenous,110,560087,0.4667,56.3769
supply_quota,low,endogenous,111,764545,0.9333,71.2326
supply_quota,low,endogenous,112,256703,0.9333,74.162
supply_quota,low,endogenous,113,171340,0.6333,66.3716
supply_quota,low,endogenous,114,484715,0.6333,70.9198
supply_quota,low,endogenous,115,397888,0.7667,73.26
supply_quota,low,endogenous,116,283061,0.4333,55.8005
supply_quota,low,endogenous,117,970343,0.5667,71.8098
supply_quota,low,endogenous,118,671089,0.5667,56.232
supply_quota,low,endogenous,119,721591,0.3,65.6707
supply_quota,low,endogenous,120,584005,0.8,72.2353
supply_quota,low,endogenous,121,230284,0.5667,57.5919
supply_quota,low,endogenous,122,717871,0.6333,64.1587
supply_quota,low,endogenous,123,340036,0.7667,78.8767
supply_quota,low,endogenous,124,883795,0.8333,77.1426
supply_quota,low,endogenous,125,805636,0.9333,83.6536
supply_quota,low,endogenous,126,813695,0.6333,69.2886
supply_quota,low,endogenous,127,58656,0.2333,52.7983
supply_quota,low,endogenous,128,240175,0.4667,68.0596
supply_quota,low,endogenous,129,861723,0.6333,66.2693
supply_quota,low,endogenous,130,33660,0.9333,75.745
supply_quota,low,endogenous,131,844152,0.7,61.3067
supply_quota,low,endogenous,132,330777,0.5333,65.8081
supply_quota,low,endogenous,133,420652,0.5333,71.7159
supply_quota,low,endogenous,134,280747,0.8333,82.2271
