scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,mid,exogenous,112,256703,1.0,27.1657
baseline,mid,exogenous,113,171340,1.0,31.337
baseline,mid,exogenous,114,484715,1.0,33.0157
baseline,mid,exogenous,115,397888,1.0,32.9338
baseline,mid,exogenous,116,283061,1.0,34.0518
baseline,mid,exogenous,117,970343,1.0,27.9917
baseline,mid,exogenous,118,671089,1.0,27.0525
baseline,mid,exogenous,119,721591,1.0,24.0944
baseline,mid,exogenous,120,584005,1.0,32.7455
baseline,mid,exogenous,121,230284,1.0,22.5686
baseline,mid,exogenous,122,717871,1.0,36.5161
baseline,mid,exogenous,123,340036,1.0,23.8441
baseline,mid,exogenous,124,883795,1.0,27.7398
baseline,mid,exogenous,125,805636,1.0,36.0389
baseline,mid,exogenous,126,813695,1.0,30.1762
baseline,mid,exogenous,127,58656,1.0,30.7131
baseline,mid,exogenous,128,240175,1.0,33.8407
baseline,mid,exogenous,129,861723,1.0,26.6666
baseline,mid,exogenous,130,33660,1.0,32.099
baseline,mid,exogenous,131,844152,1.0,30.8686
baseline,mid,exogenous,132,330777,1.0,27.4056
baseline,mid,exogenous,133,420652,1.0,35.0634
baseline,mid,exogenous,134,280747,1.0,31.096
baseline,mid,exogenous,135,69404,1.0,37.9097
baseline,mid,exogenous,136,221232,1.0,25.6876
baseline,mid,exogenous,137,957493,1.0,29.8059
baseline,mid,exogenous,138,988713,1.0,30.9819
baseline,mid,exogenous,139,594732,1.0,34.219
baseline,mid,exogenous,140,918939,1.0,36.7025
baseline,mid,exogenous,141,752788,1.0,35.9827
baseline,mid,exogenous,142,329964,1.0,21.7359
baseline,mid,exogenous,143,222956,1.0,36.813
baseline,mid,exogenous,144,687278,1.0,32.5244
baseline,mid,exogenous,145,523482,1.0,29.4638
baseline,mid,exogenous,146,414851,1.0,31.3171
baseline,mid,exogenous,147,927658,1.0,19.8472
baseline,mid,exogenous,148,958973,1.0,27.2909
baseline,mid,exogenous,149,674080,1.0,32.2829
baseline,mid,exogenous,150,481142,1.0,30.4777
baseline,mid,exogenous,151,149812,1.0,23.6578
baseline,mid,exogenous,152,277747,1.0,21.8186
baseline,mid,exogenous,153,146414,1.0,27.9668
baseline,mid,exogenous,154,258608,1.0,34.4344
baseline,mid,exogenous,155,781178,1.0,19.534
baseline,mid,exogenous,156,588638,1.0,37.8539
baseline,mid,exogenous,157,565159,1.0,29.8949
baseline,mid,exogenous,158,275505,1.0,34.414
baseline,mid,exogenous,159,783301,1.0,32.1986
baseline,mid,exogenous,160,612983,1.0,27.6035
baseline,mid,exogenous,161,449246,1.0,37.379
baseline,mid,exogenous,162,941436,1.0,24.0647
baseline,mid,exogenous,163,611879,1.0,29.3989
baseline,mid,exogenous,164,418802,1.0,33.9016
baseline,mid,exogenous,165,379581,1.0,28.5406
baseline,mid,exogenous,166,229975,1.0,40.4117
baseline,mid,exogenous,167,145052,1.0,22.4474
baseline,mid,exogenous,168,534278,1.0,31.4012
baseline,mid,exogenous,169,517489,1.0,40.0086
baseline,mid,exogenous,170,95326,1.0,31.8575
baseline,mid,exogenous,171,792496,1.0,15.2737
baseline,mid,exogenous,172,49406,1.0,30.0547
baseline,mid,exogenous,173,902932,1.0,22.0647
baseline,mid,exogenous,174,114976,1.0,29.3038
baseline,mid,exogenous,175,160266,1.0,27.2049
baseline,mid,exogenous,176,657925,1.0,37.686
baseline,mid,exogenous,177,167754,1.0,34.8561
baseline,mid,exogenous,178,830556,1.0,33.8225
baseline,mid,exogenous,179,713537,1.0,23.9055
baseline,mid,exogenous,180,442667,1.0,32.2924
baseline,mid,exogenous,181,625381,1.0,27.2081
baseline,mid,exogenous,182,66614,1.0,26.8856
baseline,mid,exogenous,183,403458,1.0,23.7903
baseline,mid,exogenous,184,400157,1.0,24.9639
baseline,mid,exogenous,185,624835,1.0,27.3372
baseline,mid,exogenous,186,490786,1.0,27.61
baseline,mid,exogenous,187,554817,1.0,36.4745
baseline,mid,exogenous,188,263627,1.0,28.5444
baseline,mid,exogenous,189,580100,1.0,27.6154
baseline,mid,exogenous,190,902593,1.0,25.0574
baseline,mid,exogenous,191,988211,1.0,29.4861
baseline,mid,exogenous,192,12039,1.0,29.6732
baseline,mid,exogenous,193,713329,1.0,32.9241
baseline,mid,exogenous,194,755732,1.0,39.4431
baseline,mid,exogenous,195,120117,1.0,29.847
baseline,mid,exogenous,196,714826,1.0,32.1784
baseline,mid,exogenous,197,927768,1.0,35.7119
baseline,mid,exogenous,198,563055,1.0,31.5009
baseline,mid,exogenous,199,787353,1.0,18.1333
supply_quota,mid,endogenous,0,670488,0.3667,29.5687
supply_quota,mid,endogenous,1,116740,0.9,35.6918
supply_quota,mid,endogenous,2,26226,0.4667,23.6633
supply_quota,mid,endogenous,3,777573,0.9,39.911
supply_quota,mid,endogenous,4,288390,0.7333,28.4158
supply_quota,mid,endogenous,5,256788,0.7667,47.0522
supply_quota,mid,endogenous,6,234054,0.5667,36.251
supply_quota,mid,endogenous,7,146317,0.8333,39.8279
supply_quota,mid,endogenous,8,772247,0.6667,38.7168
supply_quota,mid,endogenous,9,107474,0.9667,54.4955
supply_quota,mid,endogenous,10,709571,0.6333,39.2949
