scenario,exit_mode,replication,seed,survival_rate,mean_welfare,survival_new,survival_mid,survival_exp
baseline,exogenous,122,717871,1.0,36.5161,1.0,1.0,1.0
baseline,exogenous,123,340036,1.0,23.8441,1.0,1.0,1.0
baseline,exogenous,124,883795,1.0,27.7398,1.0,1.0,1.0
baseline,exogenous,125,805636,1.0,36.0389,1.0,1.0,1.0
baseline,exogenous,126,813695,1.0,30.1762,1.0,1.0,1.0
baseline,exogenous,127,58656,1.0,30.7131,1.0,1.0,1.0
baseline,exogenous,128,240175,1.0,33.8407,1.0,1.0,1.0
baseline,exogenous,129,861723,1.0,26.6666,1.0,1.0,1.0
baseline,exogenous,130,33660,1.0,32.099,1.0,1.0,1.0
baseline,exogenous,131,844152,1.0,30.8686,1.0,1.0,1.0
baseline,exogenous,132,330777,1.0,27.4056,1.0,1.0,1.0
baseline,exogenous,133,420652,1.0,35.0634,1.0,1.0,1.0
baseline,exogenous,134,280747,1.0,31.096,1.0,1.0,1.0
baseline,exogenous,135,69404,1.0,37.9097,1.0,1.0,1.0
baseline,exogenous,136,221232,1.0,25.6876,1.0,1.0,1.0
baseline,exogenous,137,957493,1.0,29.8059,1.0,1.0,1.0
baseline,exogenous,138,988713,1.0,30.9819,1.0,1.0,1.0
baseline,exogenous,139,594732,1.0,34.219,1.0,1.0,1.0
baseline,exogenous,140,918939,1.0,36.7025,1.0,1.0,1.0
baseline,exogenous,141,752788,1.0,35.9827,1.0,1.0,1.0
baseline,exogenous,142,329964,1.0,21.7359,1.0,1.0,1.0
baseline,exogenous,143,222956,1.0,36.813,1.0,1.0,1.0
baseline,exogenous,144,687278,1.0,32.5244,1.0,1.0,1.0
baseline,exogenous,145,523482,1.0,29.4638,1.0,1.0,1.0
baseline,exogenous,146,414851,1.0,31.3171,1.0,1.0,1.0
baseline,exogenous,147,927658,1.0,19.8472,1.0,1.0,1.0
baseline,exogenous,148,958973,1.0,27.2909,1.0,1.0,1.0
baseline,exogenous,149,674080,1.0,32.2829,1.0,1.0,1.0
